datetime,close
2025-10-31,3.1567
2025-10-30,3.1934
2025-10-29,3.2104
2025-10-28,3.1973
2025-10-27,3.2167
2025-10-24,3.1915
2025-10-23,3.1664
2025-10-22,3.1490
2025-10-21,3.1461
2025-10-20,3.1121
2025-10-17,3.1047
2025-10-16,3.1581
2025-10-15,3.1394
2025-10-14,3.0966
2025-10-13,3.1031
2025-10-10,3.1113
2025-10-09,3.1592
2025-09-30,3.1262
2025-09-29,3.1085
2025-09-26,3.0750
2025-09-25,3.0868
2025-09-24,3.0728
2025-09-23,3.0518
2025-09-22,3.0546
2025-09-19,3.0420
2025-09-18,3.0448
2025-09-17,3.0868
2025-09-16,3.0809
2025-09-15,3.0963
2025-09-12,3.1027
2025-09-11,3.1175
2025-09-10,3.0723
2025-09-09,3.0606
2025-09-08,3.0726
2025-09-05,3.0750
2025-09-04,3.0416
2025-09-03,3.0931
2025-09-02,3.1268
2025-09-01,3.1148
2025-08-29,3.1092
2025-08-28,3.0922
2025-08-27,3.0490
2025-08-26,3.1023
2025-08-25,3.1229
2025-08-22,3.0583
2025-08-21,2.9889
2025-08-20,2.9729
2025-08-19,2.9368
2025-08-18,2.9645
2025-08-15,2.9584
2025-08-14,2.9546
2025-08-13,2.9365
2025-08-12,2.9302
2025-08-11,2.9124
2025-08-08,2.9116
2025-08-07,2.9208
2025-08-06,2.9199
2025-08-05,2.9129
2025-08-04,2.8906
2025-08-01,2.8748
2025-07-31,2.8974
2025-07-30,2.9428
2025-07-29,2.9317
2025-07-28,2.9256
2025-07-25,2.9170
2025-07-24,2.9336
2025-07-23,2.9219
2025-07-22,2.9124
2025-07-21,2.8917
2025-07-18,2.8836
2025-07-17,2.8578
2025-07-16,2.8510
2025-07-15,2.8576
2025-07-14,2.8676
2025-07-11,2.8649
2025-07-10,2.8566
2025-07-09,2.8385
2025-07-08,2.8460
2025-07-07,2.8297
2025-07-04,2.8357
2025-07-03,2.8194
2025-07-02,2.8173
2025-07-01,2.8123
2025-06-30,2.8064
2025-06-27,2.7960
2025-06-26,2.8265
2025-06-25,2.8302
2025-06-24,2.7929
2025-06-23,2.7610
2025-06-20,2.7493
2025-06-19,2.7345
2025-06-18,2.7495
2025-06-17,2.7529
2025-06-16,2.7541
2025-06-13,2.7457
2025-06-12,2.7602
2025-06-11,2.7615
2025-06-10,2.7440
2025-06-09,2.7550
2025-06-06,2.7565
2025-06-05,2.7564
2025-06-04,2.7545
2025-06-03,2.7509
2025-05-30,2.7422
2025-05-29,2.7542
2025-05-28,2.7462
2025-05-27,2.7485
2025-05-26,2.7630
2025-05-23,2.7758
2025-05-22,2.7977
2025-05-21,2.7924
2025-05-20,2.7792
2025-05-19,2.7674
2025-05-16,2.7792
2025-05-15,2.8035
2025-05-14,2.8172
2025-05-13,2.7705
2025-05-12,2.7647
2025-05-09,2.7457
2025-05-08,2.7412
2025-05-07,2.7320
2025-05-06,2.7086
2025-04-30,2.6938
2025-04-29,2.7060
2025-04-28,2.7119
2025-04-25,2.7095
2025-04-24,2.7153
2025-04-23,2.7087
2025-04-22,2.7166
2025-04-21,2.7128
2025-04-18,2.7176
2025-04-17,2.7184
2025-04-16,2.7167
2025-04-15,2.6925
2025-04-14,2.6860
2025-04-11,2.6772
2025-04-10,2.6700
2025-04-09,2.6542
2025-04-08,2.6306
2025-04-07,2.5717
2025-04-03,2.7211
2025-04-02,2.7174
2025-04-01,2.7216
2025-03-31,2.7246
2025-03-28,2.7391
2025-03-27,2.7504
2025-03-26,2.7366
2025-03-25,2.7515
2025-03-24,2.7529
2025-03-21,2.7346
2025-03-20,2.7784
2025-03-19,2.8079
2025-03-18,2.8005
2025-03-17,2.7986
2025-03-14,2.8013
2025-03-13,2.7236
2025-03-12,2.7282
2025-03-11,2.7416
2025-03-10,2.7280
2025-03-07,2.7416
2025-03-06,2.7436
2025-03-05,2.7001
2025-03-04,2.6794
2025-03-03,2.6869
2025-02-28,2.6977
2025-02-27,2.7387
2025-02-26,2.7260
2025-02-25,2.7021
2025-02-24,2.7336
2025-02-21,2.7421
2025-02-20,2.7072
2025-02-19,2.7230
2025-02-18,2.7103
2025-02-17,2.7239
2025-02-14,2.7203
2025-02-13,2.7003
2025-02-12,2.6991
2025-02-11,2.6728
2025-02-10,2.6798
2025-02-07,2.6665
2025-02-06,2.6383
2025-02-05,2.6194
2025-01-27,2.6417
2025-01-24,2.6372
2025-01-23,2.6225
2025-01-22,2.6051
2025-01-21,2.6394
2025-01-20,2.6437
2025-01-17,2.6371
2025-01-16,2.6346
2025-01-15,2.6463
2025-01-14,2.6538
2025-01-13,2.6073
2025-01-10,2.6145
2025-01-09,2.6342
2025-01-08,2.6525
2025-01-07,2.6471
2025-01-06,2.6310
2025-01-03,2.6385
2025-01-02,2.6621
2024-12-31,2.7382
2024-12-30,2.7729
2024-12-27,2.7556
2024-12-26,2.7565
2024-12-25,2.7641
2024-12-24,2.7561
2024-12-23,2.7245
2024-12-20,2.7014
2024-12-19,2.7090
2024-12-18,2.7186
2024-12-17,2.6994
2024-12-16,2.6883
2024-12-13,2.6855
2024-12-12,2.7564
2024-12-11,2.7281
2024-12-10,2.7410
2024-12-09,2.7202
2024-12-06,2.7174
2024-12-05,2.6872
2024-12-04,2.7004
2024-12-03,2.7045
2024-12-02,2.6903
2024-11-29,2.7311
2024-11-28,2.7157
2024-11-27,2.7318
2024-11-26,2.6977
2024-11-25,2.6864
2024-11-22,2.7072
2024-11-21,2.7892
2024-11-20,2.7845
2024-11-19,2.7792
2024-11-18,2.7869
2024-11-15,2.7803
2024-11-14,2.8142
2024-11-13,2.8392
2024-11-12,2.8224
2024-11-11,2.8655
2024-11-08,2.8781
2024-11-07,2.9116
2024-11-06,2.8169
2024-11-05,2.8387
2024-11-04,2.7847
2024-11-01,2.7600
2024-10-31,2.7409
2024-10-30,2.7426
2024-10-29,2.7765
2024-10-28,2.7954
2024-10-25,2.7926
2024-10-24,2.7898
2024-10-23,2.8183
2024-10-22,2.8021
2024-10-21,2.7900
2024-10-18,2.7917
2024-10-17,2.7134
2024-10-16,2.7545
2024-10-15,2.7601
2024-10-14,2.8303
2024-10-11,2.7860
2024-10-10,2.8476
2024-10-09,2.7862
2024-10-08,2.9657
2024-09-30,2.8666
2024-09-27,2.6743
2024-09-26,2.5970
2024-09-25,2.4810
2024-09-24,2.4454
2024-09-23,2.3321
2024-09-20,2.3220
2024-09-19,2.3186
2024-09-18,2.3062
2024-09-13,2.2932
2024-09-12,2.2963
2024-09-11,2.3079
2024-09-10,2.3225
2024-09-09,2.3197
2024-09-06,2.3517
2024-09-05,2.3636
2024-09-04,2.3599
2024-09-03,2.3800
2024-09-02,2.3892
2024-08-30,2.4254
2024-08-29,2.4070
2024-08-28,2.4260
2024-08-27,2.4410
2024-08-26,2.4429
2024-08-23,2.4446
2024-08-22,2.4299
2024-08-21,2.4279
2024-08-20,2.4357
2024-08-19,2.4466
2024-08-16,2.4343
2024-08-15,2.4231
2024-08-14,2.3924
2024-08-13,2.4043
2024-08-12,2.4036
2024-08-09,2.4049
2024-08-08,2.4067
2024-08-07,2.4005
2024-08-06,2.3992
2024-08-05,2.4157
2024-08-02,2.4311
2024-08-01,2.4485
2024-07-31,2.4641
2024-07-30,2.4224
2024-07-29,2.4351
2024-07-26,2.4422
2024-07-25,2.4506
2024-07-24,2.4726
2024-07-23,2.4788
2024-07-22,2.5156
2024-07-19,2.5405
2024-07-18,2.5237
2024-07-17,2.5119
2024-07-16,2.5018
2024-07-15,2.4921
2024-07-12,2.4838
2024-07-11,2.4658
2024-07-10,2.4409
2024-07-09,2.4451
2024-07-08,2.4216
2024-07-05,2.4337
2024-07-04,2.4554
2024-07-03,2.4622
2024-07-02,2.4641
2024-07-01,2.4527
2024-06-28,2.4421
2024-06-27,2.4338
2024-06-26,2.4421
2024-06-25,2.4364
2024-06-24,2.4465
2024-06-21,2.4418
2024-06-20,2.4517
2024-06-19,2.4581
2024-06-18,2.4543
2024-06-17,2.4562
2024-06-14,2.4676
2024-06-13,2.4521
2024-06-12,2.4635
2024-06-11,2.4633
2024-06-07,2.4966
2024-06-06,2.5044
2024-06-05,2.5047
2024-06-04,2.5172
2024-06-03,2.5027
2024-05-31,2.4960
2024-05-30,2.5077
2024-05-29,2.5274
2024-05-28,2.5244
2024-05-27,2.5320
2024-05-24,2.5087
2024-05-23,2.5354
2024-05-22,2.5641
2024-05-21,2.5602
2024-05-20,2.5680
2024-05-17,2.5592
2024-05-16,2.5242
2024-05-15,2.5120
2024-05-14,2.5317
2024-05-13,2.5416
2024-05-10,2.5439
2024-05-09,2.5371
2024-05-08,2.5212
2024-05-07,2.5352
2024-05-06,2.5311
2024-04-30,2.4995
2024-04-29,2.5098
2024-04-26,2.4972
2024-04-25,2.4665
2024-04-24,2.4589
2024-04-23,2.4484
2024-04-22,2.4597
2024-04-19,2.4646
2024-04-18,2.4795
2024-04-17,2.4739
2024-04-16,2.4461
2024-04-15,2.4579
2024-04-12,2.4075
2024-04-11,2.4286
2024-04-10,2.4306
2024-04-09,2.4386
2024-04-08,2.4483
2024-04-03,2.4648
2024-04-02,2.4705
2024-04-01,2.4764
2024-03-29,2.4495
2024-03-28,2.4365
2024-03-27,2.4335
2024-03-26,2.4484
2024-03-25,2.4358
2024-03-22,2.4379
2024-03-21,2.4622
2024-03-20,2.4616
2024-03-19,2.4518
2024-03-18,2.4735
2024-03-15,2.4625
2024-03-14,2.4591
2024-03-13,2.4630
2024-03-12,2.4862
2024-03-11,2.4787
2024-03-08,2.4617
2024-03-07,2.4625
