datetime,close
2025-10-31,3.1644
2025-10-30,3.2395
2025-10-29,3.3004
2025-10-28,3.2063
2025-10-27,3.2110
2025-10-24,3.1485
2025-10-23,3.0399
2025-10-22,3.0370
2025-10-21,3.0612
2025-10-20,2.9716
2025-10-17,2.9147
2025-10-16,3.0152
2025-10-15,3.0036
2025-10-14,2.9347
2025-10-13,3.0560
2025-10-10,3.0893
2025-10-09,3.2361
2025-09-30,3.2127
2025-09-29,3.2126
2025-09-26,3.1265
2025-09-25,3.2100
2025-09-24,3.1600
2025-09-23,3.0896
2025-09-22,3.0828
2025-09-19,3.0660
2025-09-18,3.0701
2025-09-17,3.1204
2025-09-16,3.0603
2025-09-15,3.0396
2025-09-12,2.9943
2025-09-11,3.0274
2025-09-10,2.8791
2025-09-09,2.8429
2025-09-08,2.9077
2025-09-05,2.9324
2025-09-04,2.7517
2025-09-03,2.8740
2025-09-02,2.8470
2025-09-01,2.9306
2025-08-29,2.8646
2025-08-28,2.8023
2025-08-27,2.6994
2025-08-26,2.7182
2025-08-25,2.7389
2025-08-22,2.6592
2025-08-21,2.5729
2025-08-20,2.5850
2025-08-19,2.5775
2025-08-18,2.5819
2025-08-15,2.5107
2025-08-14,2.4459
2025-08-13,2.4719
2025-08-12,2.3866
2025-08-11,2.3575
2025-08-08,2.3121
2025-08-07,2.3209
2025-08-06,2.3368
2025-08-05,2.3213
2025-08-04,2.3117
2025-08-01,2.3002
2025-07-31,2.3059
2025-07-30,2.3449
2025-07-29,2.3834
2025-07-28,2.3399
2025-07-25,2.3175
2025-07-24,2.3216
2025-07-23,2.2879
2025-07-22,2.2882
2025-07-21,2.2745
2025-07-18,2.2551
2025-07-17,2.2473
2025-07-16,2.2085
2025-07-15,2.2133
2025-07-14,2.1757
2025-07-11,2.1856
2025-07-10,2.1681
2025-07-09,2.1633
2025-07-08,2.1597
2025-07-07,2.1093
2025-07-04,2.1351
2025-07-03,2.1427
2025-07-02,2.1027
2025-07-01,2.1267
2025-06-30,2.1317
2025-06-27,2.1032
2025-06-26,2.0934
2025-06-25,2.1072
2025-06-24,2.0433
2025-06-23,1.9971
2025-06-20,1.9895
2025-06-19,2.0060
2025-06-18,2.0334
2025-06-17,2.0281
2025-06-16,2.0353
2025-06-13,2.0221
2025-06-12,2.0440
2025-06-11,2.0385
2025-06-10,2.0138
2025-06-09,2.0374
2025-06-06,2.0156
2025-06-05,2.0242
2025-06-04,2.0008
2025-06-03,1.9785
2025-05-30,1.9692
2025-05-29,1.9876
2025-05-28,1.9599
2025-05-27,1.9653
2025-05-26,1.9785
2025-05-23,1.9934
2025-05-22,2.0166
2025-05-21,2.0360
2025-05-20,2.0191
2025-05-19,2.0036
2025-05-16,2.0098
2025-05-15,2.0136
2025-05-14,2.0528
2025-05-13,2.0323
2025-05-12,2.0347
2025-05-09,1.9826
2025-05-08,2
2025-05-07,1.9676
2025-05-06,1.9576
2025-04-30,1.9199
2025-04-29,1.9035
2025-04-28,1.9059
2025-04-25,1.9185
2025-04-24,1.9074
2025-04-23,1.9205
2025-04-22,1.9000
2025-04-21,1.9080
2025-04-18,1.8782
2025-04-17,1.8731
2025-04-16,1.8715
2025-04-15,1.8939
2025-04-14,1.8964
2025-04-11,1.8900
2025-04-10,1.8644
2025-04-09,1.8231
2025-04-08,1.8054
2025-04-07,1.7729
2025-04-03,2.0260
2025-04-02,2.0645
2025-04-01,2.0618
2025-03-31,2.0636
2025-03-28,2.0877
2025-03-27,2.1039
2025-03-26,2.0988
2025-03-25,2.1043
2025-03-24,2.1112
2025-03-21,2.1110
2025-03-20,2.1579
2025-03-19,2.1798
2025-03-18,2.1859
2025-03-17,2.1727
2025-03-14,2.1841
2025-03-13,2.1246
2025-03-12,2.1494
2025-03-11,2.1619
2025-03-10,2.1578
2025-03-07,2.1632
2025-03-06,2.1921
2025-03-05,2.1486
2025-03-04,2.1483
2025-03-03,2.1547
2025-02-28,2.1291
2025-02-27,2.2136
2025-02-26,2.2251
2025-02-25,2.1980
2025-02-24,2.2232
2025-02-21,2.2382
2025-02-20,2.1834
2025-02-19,2.1848
2025-02-18,2.1412
2025-02-17,2.1845
2025-02-14,2.1735
2025-02-13,2.1351
2025-02-12,2.1505
2025-02-11,2.1122
2025-02-10,2.1428
2025-02-07,2.1335
2025-02-06,2.0809
2025-02-05,2.0242
2025-01-27,2.0252
2025-01-24,2.0822
2025-01-23,2.0522
2025-01-22,2.0598
2025-01-21,2.0710
2025-01-20,2.0635
2025-01-17,2.0269
2025-01-16,2.0112
2025-01-15,1.9981
2025-01-14,2.0352
2025-01-13,1.9437
2025-01-10,1.9367
2025-01-09,1.9715
2025-01-08,1.9693
2025-01-07,1.9888
2025-01-06,1.9750
2025-01-03,1.9767
2025-01-02,2.0204
2024-12-31,2.1000
2024-12-30,2.1634
2024-12-27,2.1621
2024-12-26,2.1670
2024-12-25,2.1586
2024-12-24,2.1705
2024-12-23,2.1454
2024-12-20,2.1667
2024-12-19,2.1706
2024-12-18,2.1594
2024-12-17,2.1585
2024-12-16,2.1588
2024-12-13,2.1920
2024-12-12,2.2485
2024-12-11,2.2184
2024-12-10,2.2208
2024-12-09,2.2057
2024-12-06,2.2238
2024-12-05,2.1791
2024-12-04,2.1712
2024-12-03,2.2027
2024-12-02,2.2125
2024-11-29,2.1817
2024-11-28,2.1286
2024-11-27,2.1668
2024-11-26,2.1092
2024-11-25,2.1339
2024-11-22,2.1343
2024-11-21,2.2229
2024-11-20,2.2249
2024-11-19,2.2139
2024-11-18,2.1496
2024-11-15,2.2008
2024-11-14,2.2904
2024-11-13,2.3711
2024-11-12,2.3453
2024-11-11,2.3470
2024-11-08,2.2777
2024-11-07,2.3063
2024-11-06,2.2226
2024-11-05,2.2462
2024-11-04,2.1444
2024-11-01,2.0835
2024-10-31,2.1235
2024-10-30,2.1108
2024-10-29,2.1361
2024-10-28,2.1870
2024-10-25,2.1967
2024-10-24,2.1342
2024-10-23,2.1639
2024-10-22,2.1754
2024-10-21,2.1690
2024-10-18,2.1542
2024-10-17,1.9957
2024-10-16,2.0020
2024-10-15,2.0472
2024-10-14,2.1153
2024-10-11,2.0619
2024-10-10,2.1719
2024-10-09,2.2377
2024-10-08,2.5032
2024-09-30,2.1352
2024-09-27,1.8509
2024-09-26,1.6827
2024-09-25,1.6113
2024-09-24,1.5856
2024-09-23,1.5024
2024-09-20,1.5084
2024-09-19,1.5180
2024-09-18,1.5053
2024-09-13,1.5071
2024-09-12,1.5234
2024-09-11,1.5299
2024-09-10,1.5118
2024-09-09,1.5109
2024-09-06,1.5086
2024-09-05,1.5348
2024-09-04,1.5249
2024-09-03,1.5266
2024-09-02,1.5076
2024-08-30,1.5504
2024-08-29,1.5121
2024-08-28,1.5024
2024-08-27,1.5017
2024-08-26,1.5160
2024-08-23,1.5177
2024-08-22,1.5174
2024-08-21,1.5291
2024-08-20,1.5384
2024-08-19,1.5594
2024-08-16,1.5616
2024-08-15,1.5628
2024-08-14,1.5546
2024-08-13,1.5771
2024-08-12,1.5626
2024-08-09,1.5659
2024-08-08,1.5815
2024-08-07,1.5895
2024-08-06,1.5964
2024-08-05,1.5768
2024-08-02,1.6073
2024-08-01,1.6345
2024-07-31,1.6562
2024-07-30,1.6002
2024-07-29,1.6048
2024-07-26,1.6283
2024-07-25,1.6136
2024-07-24,1.6199
2024-07-23,1.6400
2024-07-22,1.6915
2024-07-19,1.6931
2024-07-18,1.6855
2024-07-17,1.6647
2024-07-16,1.6646
2024-07-15,1.6418
2024-07-12,1.6523
2024-07-11,1.6535
2024-07-10,1.6202
2024-07-09,1.6211
2024-07-08,1.5980
2024-07-05,1.6244
2024-07-04,1.6161
2024-07-03,1.6288
2024-07-02,1.6334
2024-07-01,1.6507
2024-06-28,1.6513
2024-06-27,1.6707
2024-06-26,1.6973
2024-06-25,1.6669
2024-06-24,1.6977
2024-06-21,1.7217
2024-06-20,1.7283
2024-06-19,1.7536
2024-06-18,1.7756
2024-06-17,1.7705
2024-06-14,1.7561
2024-06-13,1.7448
2024-06-12,1.7449
2024-06-11,1.7527
2024-06-07,1.7466
2024-06-06,1.7850
2024-06-05,1.7968
2024-06-04,1.8066
2024-06-03,1.7826
